"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"341";"BAL-3850-HR";"BAL-3850-HR";"Plueschball klein hellrosa 1.5 cm";"02-800-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"342";"BUC-4500-WW";"BUC-4500-WW";"Holzbuchstabe W";"03-700-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"343";"BAL-3860-LI";"BAL-3860-LI";"Plueschball klein lila 1.5 cm";"02-900-06";"90";"";"";"";"";"";"";"2024-12-20 14:45:56"
"344";"BUC-4510-XX";"BUC-4510-XX";"Holzbuchstabe X";"03-700-03";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"345";"BAL-3860-LI";"BAL-3860-LI";"Plueschball klein lila 1.5 cm";"02-900-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"346";"BUC-4510-XX";"BUC-4510-XX";"Holzbuchstabe X";"03-700-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"347";"BAL-3870-HG";"BAL-3870-HG";"Plueschball klein hellgruen 1.5 cm";"02-900-05";"75";"";"";"";"";"";"";"2024-12-20 14:45:56"
"348";"BUC-4520-YY";"BUC-4520-YY";"Holzbuchstabe Y";"03-700-04";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"349";"BAL-3870-HG";"BAL-3870-HG";"Plueschball klein hellgruen 1.5 cm";"02-900-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"350";"BUC-4520-YY";"BUC-4520-YY";"Holzbuchstabe Y";"03-700-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"351";"BAL-3880-DG";"BAL-3880-DG";"Plueschball klein dunkelgruen 1.5 cm";"02-800-02";"85";"";"";"";"";"";"";"2024-12-20 14:45:56"
"352";"BUC-4530-ZZ";"BUC-4530-ZZ";"Holzbuchstabe Z";"03-700-05";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"353";"BAL-3880-DG";"BAL-3880-DG";"Plueschball klein dunkelgruen 1.5 cm";"02-800-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"354";"BUC-4530-ZZ";"BUC-4530-ZZ";"Holzbuchstabe Z";"03-700-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"355";"BAL-3890-BR";"BAL-3890-BR";"Plueschball klein braun 1.5 cm";"02-900-04";"120";"";"";"";"";"";"";"2024-12-20 14:45:56"
"356";"CD-1110-BE";"CD-1110-BE";"CD-Beatles";"01-100-07";"15";"";"";"";"";"";"";"2024-12-20 14:45:56"
"357";"BAL-3890-BR";"BAL-3890-BR";"Plueschball klein braun 1.5 cm";"02-900-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"358";"CD-1110-BE";"CD-1110-BE";"CD-Beatles";"01-100-070";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"359";"BAL-3900-SW";"BAL-3900-SW";"Plueschball klein schwarz 1.5 cm";"02-800-06";"95";"";"";"";"";"";"";"2024-12-20 14:45:56"
"360";"CD-1120-ST";"CD-1120-ST";"CD-Stones";"01-100-08";"14";"";"";"";"";"";"";"2025-01-16 10:20:38"
"361";"BAL-3900-SW";"BAL-3900-SW";"Plueschball klein schwarz 1.5 cm";"02-800-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"362";"CD-1120-ST";"CD-1120-ST";"CD-Stones";"01-100-080";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"363";"BAU-2700-GU";"BAU-2700-GU";"Baustein 1x1 gruen";"04-100-01";"26";"";"";"";"";"";"";"2024-12-20 14:45:56"
"364";"CD-1130-TW";"CD-1130-TW";"CD-The Who";"01-100-09";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"365";"BAU-2700-GU";"BAU-2700-GU";"Baustein 1x1 gruen";"04-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"366";"CD-1130-TW";"CD-1130-TW";"CD-The Who";"01-100-090";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"367";"BAU-2710-BL";"BAU-2710-BL";"Baustein 1x1 blau";"04-100-02";"30";"";"";"";"";"";"";"2024-12-20 14:45:56"
"368";"CHI-1910-WE";"CHI-1910-WE";"Chips weiß";"01-400-01";"50";"";"";"";"";"";"";"2024-12-20 14:45:56"
"369";"BAU-2710-BL";"BAU-2710-BL";"Baustein 1x1 blau";"04-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"370";"CHI-1910-WE";"CHI-1910-WE";"Chips weiß";"01-400-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"371";"BAU-2720-WE";"BAU-2720-WE";"Baustein 1x1 weiß";"04-100-03";"28";"";"";"";"";"";"";"2024-12-20 14:45:56"
"372";"CHI-1920-BL";"CHI-1920-BL";"Chips blau";"01-400-03";"55";"";"";"";"";"";"";"2025-01-16 10:55:38"
"373";"BAU-2720-WE";"BAU-2720-WE";"Baustein 1x1 weiß";"04-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"374";"CHI-1920-BL";"CHI-1920-BL";"Chips blau";"01-400-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"375";"BAU-2730-GE";"BAU-2730-GE";"Baustein 1x1 gelb";"04-100-04";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"376";"CHI-1930-RO";"CHI-1930-RO";"Chips rot";"01-400-02";"-50139956";"";"";"";"";"";"";"2025-01-16 10:56:21"
"377";"BAU-2730-GE";"BAU-2730-GE";"Baustein 1x1 gelb";"04-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"378";"CHI-1930-RO";"CHI-1930-RO";"Chips rot";"01-400-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"379";"BAU-2740-SW";"BAU-2740-SW";"Baustein 1x1 schwarz";"04-100-05";"28";"";"";"";"";"";"";"2024-12-20 14:45:56"
"380";"CLG-2560-GU";"CLG-2560-GU";"Clips groß gruen 12 cm";"02-300-03";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"381";"BAU-2740-SW";"BAU-2740-SW";"Baustein 1x1 schwarz";"04-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"382";"CLG-2560-GU";"CLG-2560-GU";"Clips groß gruen 12 cm";"02-300-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"383";"BAU-2750-OR";"BAU-2750-OR";"Baustein 1x1 orange";"04-100-06";"20";"";"";"";"";"";"";"2024-12-20 14:45:56"
"384";"CLG-2570-HB";"CLG-2570-HB";"Clips groß blau 12 cm";"02-300-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"385";"BAU-2750-OR";"BAU-2750-OR";"Baustein 1x1 orange";"04-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"386";"CLG-2570-HB";"CLG-2570-HB";"Clips groß blau 12 cm";"02-300-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"387";"BAU-2760-LI";"BAU-2760-LI";"Baustein 1x1 lila";"04-200-01";"26";"";"";"";"";"";"";"2024-12-20 14:45:56"
"388";"CLG-2580-PI";"CLG-2580-PI";"Clips groß pink 12 cm";"02-300-05";"4";"";"";"";"";"";"";"2025-01-16 11:00:06"
"389";"BAU-2760-LI";"BAU-2760-LI";"Baustein 1x1 lila";"04-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"390";"CLG-2580-PI";"CLG-2580-PI";"Clips groß pink 12 cm";"02-300-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"391";"BAU-2770-BR";"BAU-2770-BR";"Baustein 1x1 braun";"04-200-02";"30";"";"";"";"";"";"";"2024-12-20 14:45:56"
"392";"CLG-2590-RO";"CLG-2590-RO";"Clips groß rot 12 cm";"02-300-06";"4";"";"";"";"";"";"";"2025-01-16 10:59:53"
"393";"BAU-2770-BR";"BAU-2770-BR";"Baustein 1x1 braun";"04-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"394";"CLG-2590-RO";"CLG-2590-RO";"Clips groß rot 12 cm";"02-300-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"395";"BAU-2780-RO";"BAU-2780-RO";"Baustein 1x1 rot";"04-200-03";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"396";"CLG-2600-SW";"CLG-2600-SW";"Clips groß schwarz 12 cm";"02-400-01";"5";"";"";"";"";"";"";"2025-01-16 10:59:44"
"397";"BAU-2780-RO";"BAU-2780-RO";"Baustein 1x1 rot";"04-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"398";"CLG-2600-SW";"CLG-2600-SW";"Clips groß schwarz 12 cm";"02-400-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"399";"BAU-2790-GR";"BAU-2790-GR";"Baustein 1x1 grau";"04-200-04";"28";"";"";"";"";"";"";"2024-12-20 14:45:56"
"400";"CLG-2610-GR";"CLG-2610-GR";"Clips groß grau 12 cm";"02-400-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"401";"BAU-2790-GR";"BAU-2790-GR";"Baustein 1x1 grau";"04-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"402";"CLG-2610-GR";"CLG-2610-GR";"Clips groß grau 12 cm";"02-400-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"403";"BAU-2800-BU";"BAU-2800-BU";"Baustein 1x4 bunt";"04-200-05";"61";"";"";"";"";"";"";"2024-12-20 14:45:56"
"404";"CLG-2620-GE";"CLG-2620-GE";"Clips groß gelb 12 cm";"02-400-03";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"405";"BAU-2800-BU";"BAU-2800-BU";"Baustein 1x4 bunt";"04-200-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"406";"CLG-2620-GE";"CLG-2620-GE";"Clips groß gelb 12 cm";"02-400-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"407";"BAU-2810-WE";"BAU-2810-WE";"Baustein 2x4 weiß";"04-200-06";"25";"";"";"";"";"";"";"2024-12-20 14:45:56"
"408";"CLK-2410-GU";"CLK-2410-GU";"Clips klein gruen 6 cm";"02-100-01";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"409";"BAU-2810-WE";"BAU-2810-WE";"Baustein 2x4 weiß";"04-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"410";"CLK-2410-GU";"CLK-2410-GU";"Clips klein gruen 6 cm";"02-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"411";"BAU-2820-GU";"BAU-2820-GU";"Baustein 2x4 gruen";"04-300-01";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"412";"CLK-2420-HB";"CLK-2420-HB";"Clips klein hellblau 6 cm";"02-100-02";"7";"";"";"";"";"";"";"2025-01-16 10:59:35"
"413";"BAU-2820-GU";"BAU-2820-GU";"Baustein 2x4 gruen";"04-300-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"414";"CLK-2420-HB";"CLK-2420-HB";"Clips klein hellblau 6 cm";"02-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"415";"BAU-2830-BL";"BAU-2830-BL";"Baustein 2x4 blau";"04-300-02";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"416";"CLK-2430-PI";"CLK-2430-PI";"Clips klein pink 6 cm";"02-100-03";"10";"";"";"";"";"";"";"2025-01-16 10:59:10"
"417";"BAU-2830-BL";"BAU-2830-BL";"Baustein 2x4 blau";"04-300-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"418";"CLK-2430-PI";"CLK-2430-PI";"Clips klein pink 6 cm";"02-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"419";"BAU-2840-RO";"BAU-2840-RO";"Baustein 2x4 rot";"04-300-03";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"420";"CLK-2440-RO";"CLK-2440-RO";"Clips klein rot 6 cm";"02-100-04";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"421";"BAU-2840-RO";"BAU-2840-RO";"Baustein 2x4 rot";"04-300-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"422";"CLK-2440-RO";"CLK-2440-RO";"Clips klein rot 6 cm";"02-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"423";"BAU-2850-GE";"BAU-2850-GE";"Baustein 2x4 gelb";"04-300-04";"20";"";"";"";"";"";"";"2024-12-20 14:45:56"
"424";"CLK-2450-SW";"CLK-2450-SW";"Clips klein schwarz 6 cm";"02-100-05";"9";"";"";"";"";"";"";"2025-01-16 10:58:58"
"425";"BAU-2850-GE";"BAU-2850-GE";"Baustein 2x4 gelb";"04-300-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"426";"CLK-2450-SW";"CLK-2450-SW";"Clips klein schwarz 6 cm";"02-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"427";"BAU-2860-BR";"BAU-2860-BR";"Baustein 2x4 braun";"04-300-05";"16";"";"";"";"";"";"";"2024-12-20 14:45:56"
"428";"CLK-2460-GR";"CLK-2460-GR";"Clips klein grau 6 cm";"02-100-06";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"429";"BAU-2860-BR";"BAU-2860-BR";"Baustein 2x4 braun";"04-300-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"430";"CLK-2460-GR";"CLK-2460-GR";"Clips klein grau 6 cm";"02-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"431";"BAU-2870-LI";"BAU-2870-LI";"Baustein 2x4 lila";"04-300-06";"16";"";"";"";"";"";"";"2024-12-20 14:45:56"
"432";"CLK-2470-GE";"CLK-2470-GE";"Clips klein gelb 6 cm";"02-200-01";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"433";"BAU-2870-LI";"BAU-2870-LI";"Baustein 2x4 lila";"04-300-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"434";"CLK-2470-GE";"CLK-2470-GE";"Clips klein gelb 6 cm";"02-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"435";"BAU-2880-OR";"BAU-2880-OR";"Baustein 2x4 orange";"04-400-01";"16";"";"";"";"";"";"";"2024-12-20 14:45:56"
"436";"CLM-2480-GU";"CLM-2480-GU";"Clips mittel gruen 8 cm";"02-200-02";"8";"";"";"";"";"";"";"2025-01-16 10:58:42"
"437";"BAU-2880-OR";"BAU-2880-OR";"Baustein 2x4 orange";"04-400-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"438";"CLM-2480-GU";"CLM-2480-GU";"Clips mittel gruen 8 cm";"02-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"439";"BAU-2890-GR";"BAU-2890-GR";"Baustein 2x4 grau";"04-400-02";"16";"";"";"";"";"";"";"2024-12-20 14:45:56"
"440";"CLM-2490-HB";"CLM-2490-HB";"Clips mittel hellblau 8 cm";"02-200-03";"10";"";"";"";"";"";"";"2025-01-16 10:58:28"
"441";"BAU-2890-GR";"BAU-2890-GR";"Baustein 2x4 grau";"04-400-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"442";"CLM-2490-HB";"CLM-2490-HB";"Clips mittel hellblau 8 cm";"02-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"443";"BAU-2900-SW";"BAU-2900-SW";"Baustein 2x4 schwarz";"04-400-03";"24";"";"";"";"";"";"";"2024-12-20 14:45:56"
"444";"CLM-2510-PI";"CLM-2510-PI";"Clips mittel pink 8 cm";"02-200-04";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"445";"BAU-2900-SW";"BAU-2900-SW";"Baustein 2x4 schwarz";"04-400-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"446";"CLM-2510-PI";"CLM-2510-PI";"Clips mittel pink 8 cm";"02-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"447";"BAU-2910-GR";"BAU-2910-GR";"Baustein 2x6 grau";"04-400-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"448";"CLM-2520-RO";"CLM-2520-RO";"Clips mittel rot 8 cm";"02-200-05";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"449";"BAU-2910-GR";"BAU-2910-GR";"Baustein 2x6 grau";"04-400-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"450";"CLM-2520-RO";"CLM-2520-RO";"Clips mittel rot 8 cm";"02-200-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"451";"BAU-2920-WE";"BAU-2920-WE";"Baustein 2x6 weiß";"04-400-05";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"452";"CLM-2530-SW";"CLM-2530-SW";"Clips mittel schwarz 8 cm";"02-200-06";"10";"";"";"";"";"";"";"2025-01-16 10:58:12"
"453";"BAU-2920-WE";"BAU-2920-WE";"Baustein 2x6 weiß";"04-400-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"454";"CLM-2530-SW";"CLM-2530-SW";"Clips mittel schwarz 8 cm";"02-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"455";"BAU-2930-BU";"BAU-2930-BU";"Baustein 1x3 bunt";"04-400-06";"78";"";"";"";"";"";"";"2024-12-20 14:45:56"
"456";"CLM-2540-GR";"CLM-2540-GR";"Clips mittel grau 8 cm";"02-300-01";"12";"";"";"";"";"";"";"2024-12-20 14:45:56"
"457";"BAU-2930-BU";"BAU-2930-BU";"Baustein 1x3 bunt";"04-400-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"458";"CLM-2540-GR";"CLM-2540-GR";"Clips mittel grau 8 cm";"02-300-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"459";"NGA-1810-LA";"NGA-1810-LA";"Nylongarn 0,5mm";"01-300-11";"9";"";"";"";"";"";"";"2025-01-16 10:50:00"
"460";"NGA-1810-LA";"NGA-1810-LA";"Nylongarn 0,5mm";"01-300-110";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"461";"NGA-1820-KU";"NGA-1820-KU";"Nylongarn 0,3mm";"01-300-12";"6";"";"";"";"";"";"";"2025-01-16 10:49:39"
"462";"NGA-1820-KU";"NGA-1820-KU";"Nylongarn 0,3mm";"01-300-120";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"463";"PEN-1410-RO";"PEN-1410-RO";"Touch Pen rot";"01-200-07";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"464";"PEN-1410-RO";"PEN-1410-RO";"Touch Pen rot";"01-200-070";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"465";"PEN-1420-SW";"PEN-1420-SW";"Touch Pen schwarz";"01-200-08";"8";"";"";"";"";"";"";"2025-01-16 10:51:17"
"466";"PEN-1420-SW";"PEN-1420-SW";"Touch Pen schwarz";"01-200-080";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"467";"PEN-1430-HB";"PEN-1430-HB";"Touch Pen hellblau";"01-200-09";"8";"";"";"";"";"";"";"2025-01-16 10:51:10"
"468";"PEN-1430-HB";"PEN-1430-HB";"Touch Pen hellblau";"01-200-090";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"469";"PEN-1440-DB";"PEN-1440-DB";"Touch Pen dunkelblau";"01-200-10";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"470";"PEN-1440-DB";"PEN-1440-DB";"Touch Pen dunkelblau";"01-200-100";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"471";"PEN-1450-OR";"PEN-1450-OR";"Touch Pen orange";"01-200-11";"8";"";"";"";"";"";"";"2025-01-16 10:50:38"
"472";"PEN-1450-OR";"PEN-1450-OR";"Touch Pen orange";"01-200-110";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"473";"PEN-1460-GR";"PEN-1460-GR";"Touch Pen gruen";"01-200-12";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"474";"PEN-1460-GR";"PEN-1460-GR";"Touch Pen gruen";"01-200-120";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"475";"STA-3910-GU";"STA-3910-GU";"Holzstab gruen";"05-100-01";"48";"";"";"";"";"";"";"2024-12-20 14:45:56"
"476";"STA-3910-GU";"STA-3910-GU";"Holzstab gruen";"05-100-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"477";"STA-3920-BL";"STA-3920-BL";"Holzstab blau";"05-100-02";"48";"";"";"";"";"";"";"2024-12-20 14:45:56"
"478";"STA-3920-BL";"STA-3920-BL";"Holzstab blau";"05-100-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"479";"STA-3930-RO";"STA-3930-RO";"Holzstab rosa";"05-100-03";"54";"";"";"";"";"";"";"2024-12-20 14:45:56"
"480";"STA-3930-RO";"STA-3930-RO";"Holzstab rosa";"05-100-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"481";"STA-3940-OR";"STA-3940-OR";"Holzstab orange";"05-100-04";"49";"";"";"";"";"";"";"2024-12-20 14:45:56"
"482";"STA-3940-OR";"STA-3940-OR";"Holzstab orange";"05-100-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"483";"STA-3950-LI";"STA-3950-LI";"Holzstab lila";"05-100-05";"48";"";"";"";"";"";"";"2024-12-20 14:45:56"
"484";"STA-3950-LI";"STA-3950-LI";"Holzstab lila";"05-100-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"485";"STA-3960-GE";"STA-3960-GE";"Holzstab gelb";"05-100-06";"48";"";"";"";"";"";"";"2024-12-20 14:45:56"
"486";"STA-3960-GE";"STA-3960-GE";"Holzstab gelb";"05-100-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"487";"STE-4200-GU";"STE-4200-GU";"Holzstern gruen";"03-800-06";"8";"";"";"";"";"";"";"2024-12-20 14:45:56"
"488";"STE-4200-GU";"STE-4200-GU";"Holzstern gruen";"03-800-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"489";"STE-4210-BL";"STE-4210-BL";"Holzstern blau";"03-900-01";"15";"";"";"";"";"";"";"2024-12-20 14:45:56"
"490";"STE-4210-BL";"STE-4210-BL";"Holzstern blau";"03-900-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"491";"STE-4220-RO";"STE-4220-RO";"Holzstern rot";"03-900-02";"17";"";"";"";"";"";"";"2025-01-16 10:20:35"
"492";"STE-4220-RO";"STE-4220-RO";"Holzstern rot";"03-900-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"493";"STE-4230-HR";"STE-4230-HR";"Holzstern hellrosa";"03-900-03";"7";"";"";"";"";"";"";"2024-12-20 14:45:56"
"494";"STE-4230-HR";"STE-4230-HR";"Holzstern hellrosa";"03-900-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"495";"STE-4240-GE";"STE-4240-GE";"Holzstern gelb";"03-900-04";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"496";"STE-4240-GE";"STE-4240-GE";"Holzstern gelb";"03-900-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"497";"STE-4250-OR";"STE-4250-OR";"Holzstern orange";"03-900-05";"25";"";"";"";"";"";"";"2024-12-20 14:45:56"
"498";"STE-4250-OR";"STE-4250-OR";"Holzstern orange";"03-900-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"499";"STE-4260-DR";"STE-4260-DR";"Holzstern dunkelrosa";"03-900-06";"19";"";"";"";"";"";"";"2024-12-20 14:45:56"
"500";"STE-4260-DR";"STE-4260-DR";"Holzstern dunkelrosa";"03-900-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"501";"USB-1210-RO";"USB-1210-RO";"USB-Stick Rot";"01-200-01";"3";"";"";"";"";"";"";"2025-01-16 10:50:28"
"502";"USB-1210-RO";"USB-1210-RO";"USB-Stick Rot";"01-200-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"503";"USB-1220-BL";"USB-1220-BL";"USB-Stick Blau";"01-200-02";"5";"";"";"";"";"";"";"2024-12-20 14:45:56"
"504";"USB-1220-BL";"USB-1220-BL";"USB-Stick Blau";"01-200-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"505";"USB-1230-SW";"USB-1230-SW";"USB-Stick Schwarz";"01-200-03";"-6";"";"";"";"";"";"";"2025-01-16 10:50:13"
"506";"USB-1230-SW";"USB-1230-SW";"USB-Stick Schwarz";"01-200-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"507";"WAS-1330-LI";"WAS-1330-LI";"Waschmaschine";"01-200-06";"8";"";"";"";"";"";"";"2025-01-16 10:50:00"
"508";"WAS-1330-LI";"WAS-1330-LI";"Waschmaschine";"01-200-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"509";"WKL-2310-GU";"WKL-2310-GU";"Wascheklammer gruen";"03-800-01";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"510";"WKL-2310-GU";"WKL-2310-GU";"Wascheklammer gruen";"03-800-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"511";"WKL-2320-BL";"WKL-2320-BL";"Wascheklammer blau";"03-800-02";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"512";"WKL-2320-BL";"WKL-2320-BL";"Wascheklammer blau";"03-800-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"513";"WKL-2330-RO";"WKL-2330-RO";"Wascheklammer rot";"03-800-03";"10";"";"";"";"";"";"";"2024-12-20 14:45:56"
"514";"WKL-2330-RO";"WKL-2330-RO";"Wascheklammer rot";"03-800-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:57"
"515";"WKL-2340-WE";"WKL-2340-WE";"Wascheklammer weiß";"03-800-04";"10";"";"";"";"";"";"";"2024-12-20 14:45:57"
"516";"WKL-2340-WE";"WKL-2340-WE";"Wascheklammer weiß";"03-800-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:57"
"517";"WKL-2350-GE";"WKL-2350-GE";"Wascheklammer gelb";"03-800-05";"10";"";"";"";"";"";"";"2024-12-20 14:45:57"
"518";"WKL-2350-GE";"WKL-2350-GE";"Wascheklammer gelb";"03-800-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:57"
"519";"ZAH-4600-11";"ZAH-4600-11";"Holzzahl 1";"03-700-06";"120";"";"";"";"";"";"";"2024-12-20 14:45:57"
"520";"ZAH-4600-11";"ZAH-4600-11";"Holzzahl 1";"03-700-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:57"
"521";"ZAH-4610-29";"ZAH-4610-29";"Holzzahlen";"02-700-06";"360";"";"";"";"";"";"";"2024-12-20 14:45:57"
"522";"ZAH-4610-29";"ZAH-4610-29";"Holzzahlen";"02-700-060";"0";"";"";"";"";"";"1";"2025-04-10 16:52:53"
