"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"203";"BAU-3440-BL";"BAU-3440-BL";"Baustein 2x8 blau";"05-500-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"204";"JEN-1540-DG";"JEN-1540-DG";"Jenga dunkelgruen";"01-300-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"205";"BAU-3450-GR";"BAU-3450-GR";"Baustein 2x8 grau";"05-500-04";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"206";"JEN-1550-PI";"JEN-1550-PI";"Jenga pink";"01-300-05";"27";"";"";"";"";"";"";"2024-12-20 14:45:55"
"207";"BAU-3450-GR";"BAU-3450-GR";"Baustein 2x8 grau";"05-500-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"208";"JEN-1550-PI";"JEN-1550-PI";"Jenga pink";"01-300-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"209";"BAU-3460-GE";"BAU-3460-GE";"Baustein 2x8 gelb";"05-500-05";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"210";"JEN-1560-HB";"JEN-1560-HB";"Jenga hellblau";"01-300-06";"18";"";"";"";"";"";"";"2024-12-20 14:45:55"
"211";"BAU-3460-GE";"BAU-3460-GE";"Baustein 2x8 gelb";"05-500-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"212";"JEN-1560-HB";"JEN-1560-HB";"Jenga hellblau";"01-300-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"213";"BAU-3470-BR";"BAU-3470-BR";"Baustein 2x8 braun";"05-500-06";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"214";"KAB-1710-KZ";"KAB-1710-KZ";"Kabel, gelb, 0,25m";"01-300-09";"9";"";"";"";"";"";"";"2025-01-16 10:50:15"
"215";"BAU-3470-BR";"BAU-3470-BR";"Baustein 2x8 braun";"05-500-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"216";"KAB-1710-KZ";"KAB-1710-KZ";"Kabel, gelb, 0,25m";"01-300-090";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"217";"BAU-3480-WE";"BAU-3480-WE";"Baustein 2x8 weiß";"05-600-01";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"218";"KAB-1720-LA";"KAB-1720-LA";"Kabel, schwarz, 0,5m";"01-300-10";"10";"";"";"";"";"";"";"2024-12-20 14:45:55"
"219";"BAU-3480-WE";"BAU-3480-WE";"Baustein 2x8 weiß";"05-600-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"220";"KAB-1720-LA";"KAB-1720-LA";"Kabel, schwarz, 0,5m";"01-300-100";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"221";"BAU-3490-RO";"BAU-3490-RO";"Baustein 2x8 rot";"05-600-02";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"222";"KUS-1310-WE";"KUS-1310-WE";"Kuehlschrank";"01-200-04";"7";"";"";"";"";"";"";"2025-01-16 10:51:29"
"223";"BAU-3490-RO";"BAU-3490-RO";"Baustein 2x8 rot";"05-600-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"224";"KUS-1310-WE";"KUS-1310-WE";"Kuehlschrank";"01-200-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"225";"BAU-3500-LI";"BAU-3500-LI";"Baustein 2x8 lila";"05-600-03";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"226";"MUR-4100-LI";"MUR-4100-LI";"Holzmurmel lila";"02-600-01";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"227";"BAU-3500-LI";"BAU-3500-LI";"Baustein 2x8 lila";"05-600-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"228";"MUR-4100-LI";"MUR-4100-LI";"Holzmurmel lila";"02-600-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"229";"BAU-3510-GE";"BAU-3510-GE";"Baustein 2x8 gelb";"05-600-04";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"230";"MUR-4110-BL";"MUR-4110-BL";"Holzmurmel blau";"02-400-05";"12";"";"";"";"";"";"";"2025-01-16 10:59:40"
"231";"BAU-3510-GE";"BAU-3510-GE";"Baustein 2x8 gelb";"05-600-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"232";"MUR-4110-BL";"MUR-4110-BL";"Holzmurmel blau";"02-400-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"233";"BAU-3520-SW";"BAU-3520-SW";"Baustein 2x8 schwarz";"05-600-05";"4";"";"";"";"";"";"";"2024-12-20 14:45:55"
"234";"MUR-4120-GE";"MUR-4120-GE";"Holzmurmel gelb";"02-500-03";"12";"";"";"";"";"";"";"2025-01-16 10:59:54"
"235";"BAU-3520-SW";"BAU-3520-SW";"Baustein 2x8 schwarz";"05-600-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"236";"MUR-4120-GE";"MUR-4120-GE";"Holzmurmel gelb";"02-500-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"237";"BAU-3530-BU";"BAU-3530-BU";"Baustein 2x10 bunt";"05-600-06";"37";"";"";"";"";"";"";"2024-12-20 14:45:55"
"238";"MUR-4130-SW";"MUR-4130-SW";"Holzmurmel schwarz";"02-500-02";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"239";"BAU-3530-BU";"BAU-3530-BU";"Baustein 2x10 bunt";"05-600-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"240";"MUR-4130-SW";"MUR-4130-SW";"Holzmurmel schwarz";"02-500-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"241";"BAU-3540-GU";"BAU-3540-GU";"Baustein 1x6 gruen";"05-700-01";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"242";"MUR-4140-OR";"MUR-4140-OR";"Holzmurmel orange";"02-500-04";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"243";"BAU-3540-GU";"BAU-3540-GU";"Baustein 1x6 gruen";"05-700-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"244";"MUR-4140-OR";"MUR-4140-OR";"Holzmurmel orange";"02-500-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"245";"BAU-3550-BL";"BAU-3550-BL";"Baustein 1x6 blau";"05-700-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"246";"MUR-4150-GU";"MUR-4150-GU";"Holzmurmel gruen";"02-400-04";"10";"";"";"";"";"";"";"2025-01-16 10:59:23"
"247";"BAU-3550-BL";"BAU-3550-BL";"Baustein 1x6 blau";"05-700-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"248";"MUR-4150-GU";"MUR-4150-GU";"Holzmurmel gruen";"02-400-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"249";"BAU-3560-RO";"BAU-3560-RO";"Baustein 1x6 rot";"05-700-03";"-569995";"";"";"";"";"";"";"2025-01-16 10:22:27"
"250";"MUR-4160-DR";"MUR-4160-DR";"Holzmurmel dunkelrosa";"02-500-05";"12";"";"";"";"";"";"";"2025-01-16 10:59:10"
"251";"BAU-3560-RO";"BAU-3560-RO";"Baustein 1x6 rot";"05-700-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"252";"MUR-4160-DR";"MUR-4160-DR";"Holzmurmel dunkelrosa";"02-500-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
